repo,url,commits,releases,stars,Analyzed?,Publication? (the Readme.md of the repo usually includes the link or name of the publication),"Framework used (e.g. langchain, langgraph, use their own scripts, the project is a framework itself -Moatless, Openhand-)",Dependency graph,Has Agents?,# Agents,Agents Sheet Hyperlink,Topology/Architecture Description,Topology/Architecture File,Topology/Architecture Type,Topology URL,Programming language,Autonomy Rating,Autonomy Description,Comments
Lingma-SWE-GPT,https://github.com/LingmaTongyi/Lingma-SWE-GPT/blob/888e87dd65a59c84555a04eeb85856cf5fa83936,19,0,253,TRUE,https://arxiv.org/abs/2411.00622,"metagpt, langchain",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/LingmaTongyi_Lingma-SWE-GPT_bc8ce0.json,TRUE,4,Goto Lingma-SWE-GPT,Fig. 1. Overview of an iterative development-process training framework for automated software improvement.,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Lingma_topology.png,,,"Python, JavaScript, HTML, Makefile, CSS",0,0 - No Classification,"- agent_common.py
- MCTS for code search: https://github.com/LingmaTongyi/Lingma-SWE-GPT/blob/888e87dd65a59c84555a04eeb85856cf5fa83936/app/api/manage.py#L682
- Inference: agent_locate_file_class_func & (Manager: (agent_proxy & agent_write_patch))
- has BM25 Seach Info Algorithm"
RepoGraph,https://github.com/ozyyshr/RepoGraph/blob/6c3977d87845993bf2c0359b4ac752278d7f3c45,19,0,248,TRUE,https://arxiv.org/abs/2410.14684,plug-in,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/ozyyshr_RepoGraph_9cdb72.json,FALSE,0,,,,,,"Python, Shell, JavaScript, CSS",0,0 - No Classification,"- We introduce RepoGraph, an effective plug-in repo-level module that offers the desired context and substantially boosts the LLMs' AI software engineering capability.
- SWE-agent and agentless incorport RepoGraph"
Lingxi,https://github.com/nimasteryang/Lingxi/blob/fe0b1d36323234c3c90eaa05a82ffc53c77064f9,25,0,207,TRUE,https://arxiv.org/abs/2510.11838,"framework itself, langgraph, langchain",Disable,TRUE,5,Goto Lingxi,Fig. 3. Workflow of Lingxi. (supervisor node contraol all 5 agents),https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Lingxi_workflow.png,Centralized,https://github.com/lingxi-agent/Lingxi/blob/fe0b1d36323234c3c90eaa05a82ffc53c77064f9/src/agent/supervisor_graph_demo.py#L292,Python,3,3 – Semi-autonomy: agents decide execution under communication/workflow restrictions,"- Lingxi is an open‑source, multi‑agent framework designed to automate a broad range of software‑engineering tasks.
- The prototype currently consists of five main agents across the graphs and implemented in various LangGraph nodes
- Multi-Agent Manager, Supervisor, etc
- see README.md: https://github.com/lingxi-agent/Lingxi/blob/fe0b1d36323234c3c90eaa05a82ffc53c77064f9/README.md?plain=1#L1"
Agentless-Lite,https://github.com/sorendunn/Agentless-Lite/blob/01900cec1774f2947b7751dd336986cb66e6c14f,25,2,45,TRUE,https://arxiv.org/abs/2407.01489,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/sorendunn_Agentless-Lite_f738d6.json,FALSE,0,None,Figure 1: Overview of AGENTLESS.,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Agentless_topology.png,,,Python,0,0 - No Classification,"- Same paper as agentless
- Exclusively RAG-based localization"
SWE-Dev,https://github.com/THUDM/SWE-Dev/blob/72917b610c3749c9e1236b29effd629f8aca6a99,28,0,57,TRUE,https://arxiv.org/abs/2506.07636,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/THUDM_SWE-Dev_c5f81e.json,FALSE,0,None,"This pipeline automatically generates and validates test cases for code repositories. It clones a repo, extracts relevant code context, and uses a language model to create tests and environments. The tests are then parsed, dependencies installed, and executed in isolated environments. Optionally, failing tests are refined using feedback, and the process runs in parallel to produce validated results efficiently.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Swe-dev_pipeline.png,,,"Python, Shell, Dockerfile",1,1 – Orchestrated: execution decided by software workflow or human,- issue -> pipeline: get_description -> generate testcase -> eval testcase
CodeFuse-CGM,https://github.com/codefuse-ai/CodeFuse-CGM/blob/2c12754adeb0e4d97d31ea19c2181523fa742d55,29,0,518,TRUE,https://arxiv.org/abs/2505.16901,framework itself,Disable,FALSE,0,,"Figure 3: Architecture of CGM and its Graph RAG extension: Given an issue, (a) Rewriter extracts
code entities and keywords from the issue (Extractor), and modifies the original issue into more
detailed queries (Inferer). Based on this, (b) Retriever locates relevant nodes from the corresponding
code graph; then expands these nodes to a connected subgraph by including neighboring and
upstream nodes. (c) Reranker ranks retrieved results in two stages: File Name Rank and File
Skeleton Rank, selecting the most relevant files for modification. Finally, (d) Reader (CGM) takes the
retrieved graph and selected files as input. Each node's code content is encoded by an Encoder &,
producing a node token via the Adapter A. Node tokens are then concatenated with text tokens in
the prompt before entering the LLM decoder D, where the adjacency matrix replaces its original
attention mask.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/codefuse-cgm_architecture_.png,,,"Python, Shell",5,5 – Full autonomy: agents decide execution without workflow or human intervention,"- Agentless graph RAG: see paper why better ""Agentless models offer a more controlled approach to simulating real-world SE processes by following well-defined, fixed steps rather than relying on LLM agents to make autonomous decisions or
use complex tools."""
Agentless,https://github.com/OpenAutoCoder/Agentless/blob/5ce5888b9f149beaace393957a55ea8ee46c9f71,32,2,2007,TRUE,https://arxiv.org/abs/2407.01489,llama-index,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/OpenAutoCoder_Agentless_051c7d.json,FALSE,0,None,Figure 1: Overview of AGENTLESS.,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Agentless_topology.png,,,Python,0,0 - No Classification,"- three phase process: localization, repair, and patch validation."
navie-editor,https://github.com/getappmap/navie-editor/blob/c8629e9fbd5a150f8c0bf2b02725ae4b09ce461d,35,0,2,FALSE,not found,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/getappmap_navie-editor_78ab97.json,FALSE,0,None,,,,,Python,0,0 - No Classification,"- navie is a Python package containing code for editing code with Navie AI.
- has a editor: https://github.com/getappmap/navie-editor/blob/c8629e9fbd5a150f8c0bf2b02725ae4b09ce461d/navie/editor.py#L15
- simple solver: https://github.com/getappmap/navie-editor/blob/c8629e9fbd5a150f8c0bf2b02725ae4b09ce461d/navie/simple_solver.py#L8"
CodeR,https://github.com/NL2Code/CodeR/blob/d63468344bc215bbabb8f0c1ba4af24897a946df,37,0,159,FALSE,https://arxiv.org/pdf/2406.01304,framework itself,Disable,FALSE,0,,"Figure 1: Multi-Agent framework of CODER with task graphs.
Manager
Reproducer
Fault Localizer
Editor
Verifier",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/CodeR_framework.png,,,,0,0 - No Classification,- Can not analyze (no Code at all)
Skywork-SWE-32B,https://huggingface.co/Skywork/Skywork-SWE-32B,52,NA,4200,FALSE,,,,FALSE,,0,,,,,,0,0 - No Classification,
HyperAgent,https://github.com/FSoft-AI4Code/HyperAgent/blob/c3092f2601ab3bf7f890fac2cd5b1290d3f59256,52,0,234,TRUE,https://arxiv.org/abs/2409.16299,"langchain, autogen",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/FSoft-AI4Code_HyperAgent_9829ce.json,TRUE,7,Goto HyperAgent,"Figure 2: Overview of HYPERAGENT: A scalable, multi-agent system for software engineering
tasks. The workflow illustrates the central Planner agent coordinating with specialized child agents
(Navigator, Editor, and Executor) through an asynchronous Message Queue. This architecture enables parallel processing of subtasks, dynamic load balancing, and efficient handling of complex
software engineering challenges.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Hyper-agent_topology.png,Centralized,"https://github.com/FSoft-AI4Code/HyperAgent/blob/c3092f2601ab3bf7f890fac2cd5b1290d3f59256/src/hyperagent/pilot.py#L109
https://github.com/FSoft-AI4Code/HyperAgent/blob/c3092f2601ab3bf7f890fac2cd5b1290d3f59256/main.py","Python, TypeScript, Shell, JavaScript",1,1 – Orchestrated: execution decided by software workflow or human,"- implement a multispy for LSP (language server protocol) to autocomplete, find references, etc https://github.com/FSoft-AI4Code/HyperAgent/blob/c3092f2601ab3bf7f890fac2cd5b1290d3f59256/src/hyperagent/multilspy/language_server.py#L55
- from langchain_community.document_loaders.parsers.language.code_segmenter import CodeSegmenter for "" """"""Parse using the respective programming language syntax.
Each top-level function and class in the code is loaded into separate documents.
Furthermore, an extra document is generated, containing the remaining top-level code
that excludes the already segmented functions and classes.
This approach can potentially improve the accuracy of QA models over source code."" https://github.com/FSoft-AI4Code/HyperAgent/blob/c3092f2601ab3bf7f890fac2cd5b1290d3f59256/src/hyperagent/langchain_parsers/language/python.py#L6
- all agent setup in HyperAgent
- the arxiv url citation in README.md is wrong"
DARS-Agent,https://github.com/darsagent/DARS-Agent/blob/eab35168a90b7dc5b5a05a29d7d41993cdb74bdf,89,0,2,TRUE,https://arxiv.org/abs/2503.14269,own scripts,Disable,TRUE,2,Goto DARS-Agent,"Figure 1: Overview of our DARS scaling method. DARS processes issue-related information and generates multiple
patches using the Expansion mechanism. These patches are then evaluated by our Reviewer LLM, which assigns
scores based on predefined Score Rubrics, ultimately selecting the best patch for output.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/DARS-Agent_overview.png,,,"Python, TypeScript, Shell, Dockerfile, JavaScript",5,5 – Full autonomy: agents decide execution without workflow or human intervention,- agent config (prompts) in a .yaml
SuperCoder,https://github.com/TransformerOptimus/SuperCoder/blob/029d3709e061e53ec61ce3e7cb6b6709fe2f0c09,108,1,966,FALSE,not found,,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/TransformerOptimus_SuperCoder_9b0ca6.json,FALSE,0,,,,,,"Go, TypeScript, CSS, Dockerfile, Python, Shell",0,0 - No Classification,- This project is under active development and may still have issues.
R2E-Gym,https://github.com/agentica-project/R2E-Gym/blob/353348a0ff690f2592025eff41b3fef4201a4d8b,143,NA,626,TRUE,https://github.com/agentica-project/R2E-Gym/blob/353348a0ff690f2592025eff41b3fef4201a4d8b/assets/paper.pdf,own scripts,Disable,TRUE,1,Goto R2E-Gym,,,,,"Python, Shell, HTML",5,5 – Full autonomy: agents decide execution without workflow or human intervention,
programmer,https://github.com/wandb/programmer/blob/9b25bc7d4d4e4f4d685737de66147c248d1159d8,185,0,57,TRUE,not found,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/wandb_programmer_612eac.json,TRUE,3,Goto programmer,- User prompt and agent are choses by the user,,,,"Python, Shell",1,1 – Orchestrated: execution decided by software workflow or human,"- programmer is a command-line based AI programmer, that will help you get stuff done.

WARNING: programmer has direct access to your machine, it can run commands, and read and write files, without safety checks. You have been warned!
- use weave https://docs.wandb.ai/weave/concepts/what-is-weave"
trae-agent,https://github.com/bytedance/trae-agent/blob/e839e559ac61bdd0e057c375dd1dee391fee797d,320,0,10685,TRUE,https://arxiv.org/abs/2507.23370,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/bytedance_trae-agent_1d3f3b.json,TRUE,1,Goto trae-agent,Figure 2: Overview of Trae Agent,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/Figure_2_Overview_of_Trae_Agent.png,,,Python,5,5 – Full autonomy: agents decide execution without workflow or human intervention,- single agent with big promt
auto-code-rover,https://github.com/AutoCodeRoverSG/auto-code-rover/blob/585d3e639aeda58ef0b6a151dd1cc2721a94d267,345,2,3051,TRUE,https://arxiv.org/abs/2404.05427,own scripts,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/AutoCodeRoverSG_auto-code-rover_4cac70.json,TRUE,6,Goto auto-code-rover,Publication Figure 2: Overall workflow of AutoCodeRover.,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/auto_code_rover_topology.jpg,,,"Python, TypeScript",1,1 – Orchestrated: execution decided by software workflow or human,"- agent_common.py
- Inference: (ReviewManager: (reproducer, review and patch agent)) & (Project Manager: (SeachManager: (proxy and seach agent)))"
OrcaLoca,https://github.com/fishmingyu/OrcaLoca/blob/37db289be2dc3b7432183fe08b3f06becce87c27,459,0,33,TRUE,https://arxiv.org/abs/2502.00350,"framework itself, llama-index",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/fishmingyu_OrcaLoca_2c0263.json,TRUE,6,Goto OrcaLoca,"Figure 2. An overview of ORCALOCA using a demonstrating example from issue django_14580. (a) shows an abbreviated version of the
issue's problem statement, where the user emphasizes Creat eModel and MigrationWriter. (b) presents the exploration sequence of
our agent over a part of the whole CodeGraph. (c) provides details of the Action Scheduler Queue (ASQ). Specifically, action decomposition
is applied from 1 to 2 and from 8
8
agent's final output. Please note this is a demonstration, experiments may use different configuration.

e

12
6
4

6

ASQ status

models.py

serializer_factory

LLM Guided Action
search_callable(serializer_factory)
Due to LLM's emphasis
on action, the priority of
k changes to 3 and
surpasses that of c,
which is 2.

Closer to PB Taget

Potential Bugs(PB)
TypeSerializer
TypeSerializer.serialize
Distance-Aware
Context Pruning
TypeSerializer.serialize
TypeSerializer
serializer_factory
Deconstructable ...
OperationWriter
MigrationWriterserialize
Rd: MigrationWriter.as_string
CreateModel
-

g

h.

m

S

8

9

Function Call

2

File Related Action to ASQ

k.

9

E

Score & Rank
Top-K

File Action Decomposition

serializer.py
0g TypeSerializer
Q Deconstruct ...
FloatSerializer
BaseSerializer

X

n.

(c) Action Planning Queue Detail

(d) Context Manager Detail

Bug Report
After examining the serialization
process, the bug is in
TypeSerializer.serialize() method in
django/db/migrations/serializer.py.
The special case [(models.Model,
'models.Model', [)] explicitly sets an
empty import list for models.Model,
which causes the missing import
statement in the generated migration

TypeSerializer.serialize

(e) Final Output

to

steps from 6

to

and

to

(d)

as discussed in Section 3.3. Additionally, techniques described in Section 3.2 are used to handle
illustrates the distance-aware context pruning process, elaborated in Section 3.4. Finally, (e) shows the",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/OrcaLoca_workflow_example.png,,,Python,0,0 - No Classification,- considered agentless and not multi agent system since the agent does not communicate with each others
moatless-tools,https://github.com/aorwall/moatless-tools/blob/011ead57a5c81664e9c45e07e1f50b17e695cc63,480,1,624,TRUE,https://arxiv.org/abs/2410.20285,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/aorwall_moatless-tools_617dfd.json,TRUE,1,Goto moatless-tools,"Figure 1: SWE-Search Overview. Tree search. Each state is represented as a node from which the
agent can expand from, and each corresponding action is presented as an edge. Evaluation. Uses
all relevant context including trajectory information, file context, and executed tests, to provide a
quantitative value estimation and qualitative explanation in natural language. Expansion. Nodes can
be expanded using value function feedback from future actions.",https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Topology%20Files/moatless-tools_topology.png,,,Python,0,0 - No Classification,- MoatlessComponent: Base class for dynamically loadable components. https://github.com/aorwall/moatless-tools/blob/011ead57a5c81664e9c45e07e1f50b17e695cc63/moatless/component.py#L21
SWE-bench,https://github.com/swe-bench/SWE-bench,637,0,4200,FALSE,,,,FALSE,,0,,,,,,0,0 - No Classification,
debug-gym,https://github.com/microsoft/debug-gym/blob/f260483f06f4083db8c21f60e64e3c109943167c,740,5,291,TRUE,https://arxiv.org/abs/2503.21557,framework itself,https://github.com/xiangfengyepan/TFG_public/blob/main/First_Part_Analysis/Dependency%20graph%20JSON/microsoft_debug-gym_cf4c75.json,TRUE,4,Goto debug-gym,,,,,"Python, HTML",0,0 - No Classification,- project page https://microsoft.github.io/debug-gym/
