Repo,Agent,UPPERCASE,Use of words,Punctuation,Markup tags,Role definition,Negation,Output format,Numbered list,Comments
ExpeRepair.csv,PatchAgent,,,,The issue contains a description marked between <issue> and </issue>.,"SYSTEM_PROMPT_W_REPO = """"""You are a software developer maintaining the GitHub project {repo_name}.","Do not make changes to test files or write tests; you are only interested in crafting a patch.""""""",,,
ExpeRepair.csv,PatchAgent,"### Phase 1: FIX ANALYSIS
### Phase 2: FIX IMPLEMENTATION
- DO NOT include line numbers in the patch.
EXAMPLE PATCH FORMAT:
### Phase 1: FIX ANALYSIS
### Phase 2: FIX IMPLEMENTATION
- DO NOT include line numbers in the patch.
EXAMPLE PATCH FORMAT:","- Each modification must be enclosed in:
- The `<original>` block must contain an exact, continuous block of code from the provided code locations, as the system relies on this for locating modifications.
- Each modification must be enclosed in:
- The `<original>` block must contain an exact, continuous block of code from the provided code locations, as the system relies on this for locating modifications.",,"- `<file>...</file>`: replace `...` with actual file path.
- `<original>...</original>`: replace `...` with the original code snippet from the provided code locations.
- `<patched>...</patched>`: replace `...` with the fixed version of the original code.
- The `<original>` block must contain an exact, continuous block of code from the provided code locations, as the system relies on this for locating modifications.
<file>...</file>
<original>...</original>
<patched>...</patched>
<file>...</file>
<original>...</original>
<patched>...</patched>
- `<file>...</file>`: replace `...` with actual file path.
- `<original>...</original>`: replace `...` with the original code snippet from the provided code locations.
- `<patched>...</patched>`: replace `...` with the fixed version of the original code.
- The `<original>` block must contain an exact, continuous block of code from the provided code locations, as the system relies on this for locating modifications.
<file>...</file>
<original>...</original>
<patched>...</patched>
<file>...</file>
<original>...</original>
<patched>...</patched>",,"- DO NOT include line numbers in the patch.
- DO NOT include line numbers in the patch.","Write the patch using the strict format specified below:
EXAMPLE PATCH FORMAT:
Write the patch using the strict format specified below:
EXAMPLE PATCH FORMAT:","1. Review the issue description and state clearly what the problem is.
2. Review the test script and its execution results, and state clearly how the test reproduces the issue.
3. Analyze the provided code context and specify where the problem occurs in the code.
4. State clearly the best practices to take into account in the fix.
5. State clearly how to fix the problem.
1. Focus on making minimal, precise, and relevant changes to resolve the issue.
2. Include any necessary imports introduced by the patch.
3. Write the patch using the strict format specified below:
1. Review the issue description and state clearly what the problem is.
2. Analyze the provided code context and specify where the problem occurs in the code.
3. State clearly the best practices to take into account in the fix.
4. State clearly how to fix the problem.
1. Focus on making minimal, precise, and relevant changes to resolve the issue.
2. Include any necessary imports introduced by the patch.
3. Write the patch using the strict format specified below:",
ExpeRepair.csv,PatchAgent,,"- Suggestions must aim to make a **meaningful, functional improvement** to the candidate patch.
- Suggestions must aim to make a **meaningful, functional improvement** to the candidate patch.",,"Wrap your analysis process in <analysis> tags, and provide the suggestions in <advice> tags.
<analysis>...</analysis>
<advice>...</advice>
Wrap your analysis process in <analysis> tags, and provide the suggestions in <advice> tags.
<analysis>...</analysis>
<advice>...</advice>",,"- Avoid superficial changes such as documentation edits, unrelated code refactoring, or restating existing patches.
- Avoid superficial changes such as documentation edits, unrelated code refactoring, or restating existing patches.","### Output Format:
### Output Format:","1. Review the issue description to thoroughly understand the core problem.
2. Identify any potential flaws or limitations in the candidate patch, including but not limited to:
3. Based on your analysis, propose clear and actionable improvement suggestions.
1. Review the issue description to thoroughly understand the core problem.
2. Identify any potential flaws or limitations in the candidate patch, including but not limited to:
3. Based on your analysis, propose clear and actionable improvement suggestions.",
ExpeRepair.csv,PatchAgent,"- DO NOT include line numbers in the patch.
- You can write UP TO THREE modifications if needed.
EXAMPLE PATCH FORMAT:","- Each modification must be enclosed in:
- The `<original>` block must contain an exact, continuous block of code from the provided code locations, as the system relies on this for locating modifications.",,"- `<file>...</file>`: replace `...` with actual file path.
- `<original>...</original>`: replace `...` with the original code snippet from the provided code locations.
- `<patched>...</patched>`: replace `...` with the fixed version of the original code.
- The `<original>` block must contain an exact, continuous block of code from the provided code locations, as the system relies on this for locating modifications.
<file>...</file>
<original>...</original>
<patched>...</patched>
<file>...</file>
<original>...</original>
<patched>...</patched>",,- DO NOT include line numbers in the patch.,"Output Format:
Explain your reasoning step by step, then write your patch using the following strict format:
EXAMPLE PATCH FORMAT:","1. Carefully review the provided analysis and suggestions to identify specific areas for improvement in the candidate patch.
2. Propose a refined patch that addresses the identified limitations. Clearly explain how each suggestion leads to the specific modifications you propose.",
HyperAgent.csv,navigator,"Do not repeat your actions (IMPORTANT!)
DO NOT GUESS or refuse to response the planner's request.
result = open_file._run(relative_file_path=""module/file.py"", semantic_query=""a class that helps to Log LSP operations and Debugging"")","No need to propose a solution
Use them wisely to explore the repository and find the information you need to resolve the query.
Always output one action at a time, and wait for the user to execute the code before providing the next action.
Planner request is always correct.
Your final answer should only include code snippets that are relevant to query only.
get_all_symbols: Use this tool to get all symbols in the target file, it should be used with a keyword.
Should be used with a keyword (single word only, not a combination like sympy.latex just latex) or limited start_line and end_line.
Identifier should be a single word like `some_function` not `something.something`""
(start_line - end_line must be less than 90)
Always replay with Thought and Action with python code.",Do not repeat your actions (IMPORTANT!),,"system_nav = """"""You are an expert in finding all relevant information insider a code repository to answer the query from a planner agent.","Write code incrementally and leverage the statefulness of the kernel to avoid repeating code.
If your first attempts do not provide enough information to resolve the query, try different tools or use tool with different parameters to get the information you need.
Do not repeat your actions (IMPORTANT!)
Do not repeat your actions.
DO NOT GUESS or refuse to response the planner's request.
If you open a file, but do not find the information you need, reopen with different start_line and end_line or keywords.
Do not use any other functions.
If you want to look for a specific keyword inside the name of the symbol, specify it, otherwise if you want to see all the symbols, do not provide the keyword.","When you write Python code for action, put the code in a markdown code block with the language set to Python.
Always output one action at a time, and wait for the user to execute the code before providing the next action.","
1. Understanding the query, think step-by-step carefully before decision to propose actions to collect necessary information to resolve the query.
2. Do not repeat your actions. Only generate 1 block of code at one time.
3. Try to use the tools to get the information you need. DO NOT GUESS or refuse to response the planner's request. Planner request is always correct. You may only see part of the information, but the planner sees the whole picture. 
4. If one tool does not find the information you need, try another tool. If you open a file, but do not find the information you need, reopen with different start_line and end_line or keywords.
5. Your final answer should only include code snippets that are relevant to query only. 
2. Try to combine different tools to seek related information to the query inside the project
3. find_all_refs: Use this tool to get all references to a symbol in the codebase. This will help you understand how the symbol is used in the codebase. For example, if you want to know where a function is called, you can use this tool.
4. get_all_symbols: Use this tool to get all symbols in the target file, it should be used with a keyword. This will help you understand the structure of the file and find the relevant symbols before opening the file. If you want to look for a specific keyword inside the name of the symbol, specify it, otherwise if you want to see all the symbols, do not provide the keyword. Prioritize using keyword to shorten the search
5. get_folder_structure: Use this tool to get the structure of the target folder. This will help you understand the organization of the codebase, and find the relevant files to use other tools.
6. code_search: Use this tool to search for symbol name if you know the exact name of the symbol, this is useful to find the definition if you're not familiar with codebase yet.
7. go_to_definition: Use this tool to navigate to the definition of an identifier, for example self._print in a class. (single word only, not a combination like sympy.latex), in this case, _print.
8. open_file: Use this tool to open a file in the codebase, this is useful to read the partial content of the file (40 lines). Should be used with a keyword (single word only, not a combination like sympy.latex just latex) or limited start_line and end_line. If your previous open does not show all the information, next turn you can open the same file with different start_line and end_line (incrementally scrolling).
1. **Searching for Identifiers**:
2. **Finding Definition of a Symbol**:
3. **Finding All References of a Symbol**:
4. **Getting All Symbols from a File**:
5. **Exploring Folder Tree Structure**:
6. **Opening a File and Searching Content**:

7. **Finding a File in the Repository**:",
HyperAgent.csv,editor,,"Always think step-by-step carefully before decision.
You should aware about the code context, and surrounding variables and functions.
Always open the file before editing to see latest code!.
If you have to edit the code, ensure the code is correct with syntax, dependency, consistent with the file and the codebase.
You have to generate code that is correct with syntax, ensure the dependency, consistent with the file and the codebase.
The patch should be a block of code that be replaced into the code.
Always reply with Thought and Action with python code.""""""","Always open the file before editing to see latest code!.
Pay attention to original indentation!",,"system_edit = """"""You are an expert in edit existing codebase, you're so good at editing or generate source code files.","Do not add some undefined variables.
Do not use any other functions.","Return final answer if your code is succesfully applied.
Something like this ""patch"": ""    def something(self, s):\n    # Check if something is something\n        return something if the original code is indented with 4 spaces or  ""def something(self, s):\n    # Check if something is something\n        return something if the original block is not indented.
patch = \'\'\'def new_function(self, s):\n    # Check if something is something\n        return something\'\'\'","2. Always open the file before editing to see latest code!. 
3. If you have to edit the code, ensure the code is correct with syntax, dependency, consistent with the file and the codebase.
4. Return final answer if your code is succesfully applied. You first can open a file to get the context and use editor to apply the patch. You have to generate code that is correct with syntax, ensure the dependency, consistent with the file and the codebase.
5. If you have the exact name of the file and symbol to edit, you can use the code search to find the definition of the symbol. If there's no definition, you can use open open_file tool.
6. Pay attention to original indentation! Something like this ""patch"": ""    def something(self, s):\n    # Check if something is something\n        return something if the original code is indented with 4 spaces or  ""def something(self, s):\n    # Check if something is something\n        return something if the original block is not indented.
7. The patch should be a block of code that be replaced into the code.
1. **Editing A File with replaced code block**:
2. **Exploring Folder Tree Structure**:
3. **Opening a File and Searching Content**:
4. **Finding Definition of a Symbol**:
5. **Finding All References of a Symbol**:",
HyperAgent.csv,user_proxy,,,,,,,,,
HyperAgent.csv,executor,./tests/runtests.py: run tests of DJANGO,"Since your terminal is not stateful, you need to keep track of the state of the terminal.
Always put one action inside bash block",,,"system_exec = """"""You are a supporting agent in running bash commandlines, based on the requests, try to run commands or files.",,"When you write bash command code for action, put the code in a markdown code block with the language set to bash.","1. cd: Change directory
2. pip install: Install a package
3. pip install -e .: Install the codebase in development mode
4. python: Run a python file
5. python -m: Run a python module
6. python3 -m pytest with flag -q: run all tests with less verbose result
7. ./tests/runtests.py: run tests of DJANGO
8. bin/test: run tests of Sympy
9. tox --current-env -epy39 -v --: run tests of Sphinx.""""""",
HyperAgent.csv,planner,,"Each consequent steps should be strictly based on the previous steps.
Your thought process should be grounded by information collected from your interns, consider its results carefully, and make a decision based on the results and thought process.
Inside the query, there is a xml field <output> <\output> that show the ultimate output format you should follow.
No need to edit test file or test the code.
You only need to resolve the issue in the codebase.",Do not repeat your actions!.,"Inside the query, there is a xml field <output> <\output> that show the ultimate output format you should follow.","system_plan = """"""You are a great developer with expertise in resolving general software engineering task.","Do not repeat your actions!.
Do not care about any Pull Request or Existing Issue in the repository.","Output the agent you want to use and the request you want to make to the agent.
Inside the query, there is a xml field <output> <\output> that show the ultimate output format you should follow.
### Expected format:
Please run the following code and report the output:
time = Time(np.arange(100000, 100003), format='jd')","1. Do not repeat your actions!. After receiving the response from the agent, diversify your next subgoal to get more information.
2. Identify crucial causes of the query, localize where the problem is before choosing the code editor intern.
3. No need to edit test file or test the code. You only need to resolve the issue in the codebase.
4. Do not care about any Pull Request or Existing Issue in the repository. You are only focused on the issue assigned to you. 
5. Only generate the patch for the code, if you already know the issue, know about it causes, and relevant knowledge to resolve it.
6. Give a detailed request to the intern, so that your intern can understand the context of the query as well.
7. Request executor intern to run the test cases or run any necessary code snippet or reproduce the issue.
8. Only give task to one intern at a time.
9. If you are not confident about your generated code, you can ask the executor to run the test casses.
1. Reading the query description and understanding the problem is the first step. Make sure to identify the key components of the query and the expected behavior. Pay attention into error trace.
2. Reading the response from the interns carefully, think about the information you have collected and how it can be used to resolve the task.
3. Your thought process is the most important part of this task. Make sure to provide a detailed explanation of your reasoning with program error trace, the issue, code snippets and relevant information collected from the agents.
4. Stop the task when you have resolved the query. (Final Answer)",
KGCompass.csv,CodeRepair,"--- BEGIN ISSUE ---
--- END ISSUE ---
--- BEGIN FILE ---
--- END FILE ---
Please first localize the bug based on the issue statement, and then generate *SEARCH/REPLACE* edits to fix the issue.
Every *SEARCH/REPLACE* edit must use this format:
The start of search block: <<<<<<< SEARCH
The end of the replace block: >>>>>>> REPLACE
<<<<<<< SEARCH
>>>>>>> REPLACE
IMPORTANT NOTES:
The SEARCH block must match the exact content and indentation from the original file
The REPLACE block must maintain proper indentation relative to the surrounding code
Please note that the *SEARCH/REPLACE* edit REQUIRES PROPER INDENTATION.
Wrap the *SEARCH/REPLACE* edit in blocks ```python...```.","Every *SEARCH/REPLACE* edit must use this format:
The SEARCH block must match the exact content and indentation from the original file
The REPLACE block must maintain proper indentation relative to the surrounding code
Only include the specific lines that need to be changed
If you would like to add a line like '        print(x)', you must fully write that out, with all those spaces before the code!","If you would like to add a line like '        print(x)', you must fully write that out, with all those spaces before the code!",,,,"Every *SEARCH/REPLACE* edit must use this format:
return result
return result","1. The file path
2. The start of search block: <<<<<<< SEARCH
3. A contiguous chunk of lines to search for in the existing source code
4. The dividing line: =======
5. The lines to replace into the source code
6. The end of the replace block: >>>>>>> REPLACE
1. Line numbers start from 1 (not 0)
2. The SEARCH block must match the exact content and indentation from the original file
3. The REPLACE block must maintain proper indentation relative to the surrounding code
4. Only include the specific lines that need to be changed
5. If modifying a method, include its entire definition in both blocks if it helps clarity
6. Only generate edits when actual changes are needed
7. Verify that the replacement code is actually different from the original",
Lingma_SWE_GPT.csv,agent_proxy,"You are a helpful assistant that retreive API calls and bug locations from a text into json format.
Extract API calls from question 1 (leave empty if not exist) and bug locations from question 2 (leave empty if not exist).
The API calls include:
Provide your answer in JSON structure like this, you should ignore the argument placeholders in api calls.
NOTE: a bug location should at least has a ""class"" or ""method"".","Provide your answer in JSON structure like this, you should ignore the argument placeholders in api calls.
For example, search_code(code_str=""str"") should be search_code(""str"")
search_method_in_file(""method_name"", ""path.to.file"") should be search_method_in_file(""method_name"", ""path/to/file"")
NOTE: a bug location should at least has a ""class"" or ""method"".","do we need more context?
where are bug locations?",,You are a helpful assistant that retreive API calls and bug locations from a text into json format.,,"You are a helpful assistant that retreive API calls and bug locations from a text into json format.
Provide your answer in JSON structure like this, you should ignore the argument placeholders in api calls.","1. do we need more context?
2. where are bug locations?",
Lingma_SWE_GPT.csv,agent_write_patch,,,,,"SYSTEM_PROMPT = """"""You are a software developer maintaining a large project.",,,,
Lingma_SWE_GPT.csv,agent_write_patch,,"In addition, the original code snippet must not be abbreviated (such as ...), otherwise it cannot be matched to the original location.",,"Within <file></file>, replace ""..."" with actual file path.
Within <original></original>, replace ""..."" with the original code snippet from the program.
Within <patched></patched>, replace ""..."" with the fixed version of the original code.
<file>...</file>
<original>...</original>
<patched>...</patched>
<file>...</file>
<original>...</original>
<patched>...</patched>",,"Be careful not to modify too long original code at one time to avoid errors.
In addition, the original code snippet must not be abbreviated (such as ...), otherwise it cannot be matched to the original location.",Return the patch in the format below.,,
